PC1,PC2,PC3,frame,brightness,complexity
2.8793763033813797,7.543938228335361,1.9914627250303165,0,124.96772744979225,3.209064225997835
-1.059073911115852,4.842465473407777,1.1486155161377811,1,124.89321654259003,3.1885287497091306
1.9039700847505203,7.7628521032511735,-2.8364025181587467,2,124.88922913781164,3.1940471924625045
14.306823546175664,7.253024334264065,-4.968465237686814,3,124.7895981215374,3.2242270601349245
11.712217233887714,4.460021191226356,-3.5077148538524923,4,124.7822400882964,3.2404378518883803
2.1267315032366896,3.4428606186035084,-1.3887938330209402,5,124.65344204466759,3.2358620840314747
0.9031268742160685,3.0553416829827484,-0.7135613104682595,6,124.58898891966759,3.2237718661931423
1.6543843712654382,1.7332991080514966,-1.230512246671959,7,124.53732578774238,3.2611102168983406
0.7699376894233245,2.271904512556747,-0.7498948320551905,8,124.54864417416897,3.278603916999711
0.15265054803923575,1.7440686747318064,-0.8374082265721117,9,124.58133331890582,3.3577556582597587
1.4679245613441902,1.537779150672712,-1.2633631146463795,10,124.6234472385734,3.430078129096471
2.1054690604689927,0.682049749235127,-0.3075098153767919,11,124.67981193732687,3.5412893142725843
2.7198568438856396,1.4723128944529122,-1.2320163144156442,12,124.67751796225762,3.619149013913561
0.3431848041116102,0.04548258793803759,-1.9013366786529662,13,124.6921420533241,3.704105163414439
1.4186479270924874,0.32053766565423825,-1.838921255408606,14,124.6749913434903,3.717051213068097
0.6944579710146119,-0.3763518764346936,-1.6047236952306407,15,124.66792005713296,3.7916473986878976
0.5873976341543412,-2.6065484012821263,-2.2325118491999136,16,124.67496970221606,3.836953567811358
-0.6118133223400126,-2.9917237333167104,-2.5927878890662903,17,124.65871710526316,3.870615530358133
-1.9276667935150986,-2.3622200791044,-2.90141032393686,18,124.66912655817174,3.881086416460329
-0.2965825101235285,-2.9364010815308457,-2.1299177128243967,19,124.65498939577563,3.943089330146181
-1.081298354465361,-2.7747502640915744,-2.6566994281335536,20,124.63534452908587,3.9565154697082026
-2.779871390390158,-3.4118744401316388,-2.139570019136018,21,124.64261599722991,3.9784057404650013
-2.8205339287791777,-2.7557680449454534,-1.6918983179187082,22,124.65793260907202,3.9909883515352753
-3.4080576408041794,-3.1096790247858106,-1.2826427289083628,23,124.67323298995845,3.994306710828664
-4.419434902660584,-2.480321689617051,-0.39918930935470115,24,124.67403912742382,4.01789990638245
-4.045187979579311,-1.953958204746283,-1.9282579288350878,25,124.68575787742382,4.046449366420201
-2.8723097890170797,-2.531187277139738,-2.2780384937179194,26,124.67746926939058,4.056268438876734
