PC1,PC2,PC3,frame,brightness,complexity
16.451615094239113,-5.327933516982705,-7.895706233871759,0,124.96772744979225,3.209064225997835
15.140070622806117,-0.5394859591729704,-7.385245046363665,1,124.89321654259003,3.1885287497091306
17.023621362446224,-0.44550918253668786,-4.351425076853516,2,124.88922913781164,3.1940471924625045
21.160474627324522,-8.274370765684997,-1.3935416996357481,3,124.7895981215374,3.2242270601349245
19.212161015766977,-11.271467555836008,-2.778949288497752,4,124.7822400882964,3.2404378518883803
14.172628409635909,-4.09786309844111,-5.752151852878375,5,124.65344204466759,3.2358620840314747
13.58076912577496,-3.0070814014659604,-6.721087319975187,6,124.58898891966759,3.2237718661931423
12.518917444655992,-3.123019870052956,-6.498639102516656,7,124.53732578774238,3.2611102168983406
10.75902429783699,-1.8107877102688499,-6.6221922448492085,8,124.54864417416897,3.278603916999711
8.467131874869747,-2.0585683953701497,-6.331771453842321,9,124.58133331890582,3.3577556582597587
6.518559044203567,-1.5791529603967345,-7.683775294596357,10,124.6234472385734,3.430078129096471
7.334473117877435,-3.244512444190397,-6.925611389381305,11,124.67981193732687,3.5412893142725843
9.91085499470241,-4.798994879440157,-5.261184935158822,12,124.67751796225762,3.619149013913561
6.927143485563641,-4.906141103057843,-5.868862022575306,13,124.6921420533241,3.704105163414439
7.122783231089095,-5.165349368097804,-5.124508787833165,14,124.6749913434903,3.717051213068097
4.690861406027409,-2.517373264942503,-5.053639456937137,15,124.66792005713296,3.7916473986878976
2.0559544218228485,-1.934492201202776,-5.233749545317563,16,124.67496970221606,3.836953567811358
0.30575139025775017,-1.2919826851922158,-7.104274852217092,17,124.65871710526316,3.870615530358133
0.26294535311442624,-0.23606376939687976,-5.961429052662646,18,124.66912655817174,3.881086416460329
-0.0679742240659843,-2.0338213748203002,-6.172620564195591,19,124.65498939577563,3.943089330146181
-1.6758274722691842,-0.7740170686120424,-4.840181884016214,20,124.63534452908587,3.9565154697082026
-2.6736263732482466,0.7376440755912922,-5.783747468734918,21,124.64261599722991,3.9784057404650013
-3.1165556299973844,0.9647479652374686,-5.710823935819437,22,124.65793260907202,3.9909883515352753
