Source,Target,Weight
0,718,0.24967288850793595
0,343,0.3526687044028514
1,269,0.16799022942225275
1,773,0.3184460279028533
2,400,0.23227866181524828
2,314,0.26530511118426203
2,5,0.3245292170326958
3,531,0.24828795939652773
4,554,0.3083844767199695
6,194,0.13168953447361045
6,87,0.1895031739951179
7,733,0.1989651318926374
7,73,0.22883643746265844
8,491,0.07065589299938688
9,125,0.176235724902018
9,604,0.1790657219029214
9,11,0.22752070784247366
9,100,0.23511503039100504
10,78,0.08872182919468925
11,193,0.1948839620796799
11,105,0.21266417646274724
11,137,0.2874351206058416
12,99,0.12188781095047103
12,168,0.17068237000976122
12,132,0.2175988781685374
12,172,0.22065298231045
13,754,0.20703272590722835
13,39,0.21204604857627826
13,455,0.23386919450363997
14,314,0.22153089653714694
14,356,0.290066190025037
14,384,0.3670586823935114
15,842,0.11551861541099862
15,365,0.1821289728514119
16,39,0.08590815189866531
16,785,0.2545472852093373
17,105,0.202692528826067
18,843,0.12700214260141598
18,849,0.23893388699826185
19,540,0.19662348183906694
19,271,0.21473548948185395
19,109,0.23042197462082292
20,735,0.23904274674987738
21,856,0.09186251132559045
22,367,0.23956607639033056
22,329,0.2804378015810998
23,438,0.06576594220939222
23,422,0.22293955241906463
23,468,0.29241986375181406
24,481,0.22518678891609298
24,788,0.24780512893690904
25,880,0.2185516180664997
26,740,0.23636272006389947
26,862,0.25372160408464556
27,46,0.07228266105429834
28,609,0.18400049700810137
28,457,0.24503418287450188
29,549,0.10318549027850693
29,101,0.18517464870270123
29,450,0.20417277364521294
29,818,0.22377601229653776
30,209,0.13999683759206652
30,812,0.17525119920252924
31,615,0.19978799981189288
31,504,0.26168228629889667
32,538,0.27135665729183284
32,379,0.2753312033630215
33,524,0.04854790751206607
34,333,0.3052899290683599
35,209,0.10997015088241999
35,58,0.22339004272787674
36,357,0.18965177213104178
36,422,0.2554200310111206
37,519,0.08619584106769303
37,693,0.11931245967875646
37,887,0.269580059815718
38,85,0.13203100974429424
39,292,0.0320049038288712
40,718,0.3049893338424381
41,84,0.21988650742995872
41,329,0.22410644023228596
42,592,0.14564826816575652
42,446,0.18673908114521173
43,103,0.20501695177648346
43,520,0.23850771942648688
44,613,0.15655417091291887
45,236,0.12863016874932104
45,866,0.16915537425485086
45,873,0.24425534346211986
46,630,0.07006703991699785
47,68,0.2278274053654711
48,825,0.213162162578599
48,561,0.24700958472143117
49,561,0.10634800492043692
50,396,0.1734726676685022
50,534,0.22272780945246826
51,143,0.12718891208525995
51,550,0.2548551532015184
52,896,0.31519072188260666
53,70,0.20103262649360434
54,402,0.14745731507114893
55,186,0.23867865351910697
55,760,0.2535520916606837
56,130,0.19519699922485453
