frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
0.0,4.687728,5.0557485,4.0094028,CA1,113
1.0,4.389509,4.324383,5.0741796,CA1,113
2.0,6.0018187,5.1265073,3.926756,CA1,113
3.0,6.4669895,4.426232,3.5812364,CA1,113
4.0,6.251262,2.8872206,3.149113,CA1,113
5.0,6.269208,4.270995,3.8159525,CA1,113
6.0,4.516594,4.0620804,5.026383,CA1,113
7.0,4.122019,3.185163,2.8398895,CA1,113
8.0,6.3482265,4.4911017,3.6510882,CA1,113
9.0,6.241629,4.2386127,4.0377088,CA1,113
10.0,4.7963896,3.8825955,4.868463,CA1,113
11.0,5.2049556,3.9105697,4.7285776,CA1,113
12.0,5.6627073,3.172516,4.372504,CA1,113
13.0,4.303486,5.2134423,4.1452928,CA1,113
14.0,5.1793895,3.9356246,4.7216315,CA1,113
15.0,5.423726,3.4116287,4.4373965,CA1,113
16.0,4.0773273,5.3216467,3.6503828,CA1,113
17.0,3.5583289,5.838945,3.319072,CA1,113
18.0,4.337433,3.392527,3.3721323,CA1,113
19.0,6.339919,3.879147,3.9594588,CA1,113
20.0,6.501991,4.44402,2.912224,CA1,113
21.0,4.827162,4.5648313,3.636148,CA1,113
22.0,3.8266876,5.602653,3.4764569,CA1,113
23.0,4.121394,4.9392676,3.943423,CA1,113
24.0,4.7443433,4.709786,3.5618856,CA1,113
25.0,6.0989823,3.627729,3.556457,CA1,113
26.0,4.757583,4.097063,3.9794726,CA1,113
27.0,4.496615,3.7816358,2.8430917,CA1,113
28.0,4.669627,4.5188637,3.1398573,CA1,113
29.0,3.9101803,5.0569315,3.908408,CA1,113
30.0,4.03634,6.193701,4.088733,CA1,113
31.0,3.9235117,4.5695825,2.8723972,CA1,113
32.0,6.7013493,4.7801013,3.0822098,CA1,113
33.0,6.749254,4.7250896,3.2185318,CA1,113
34.0,6.4247355,5.0021396,3.5737042,CA1,113
35.0,3.4156773,5.6833534,4.143071,CA1,113
36.0,3.5967715,5.0317564,3.2244544,CA1,113
37.0,4.579412,3.901878,3.076141,CA1,113
38.0,6.3231087,4.7324996,2.5572934,CA1,113
39.0,3.743738,5.801022,4.2828174,CA1,113
40.0,4.6172004,4.4305587,4.9959235,CA1,113
41.0,4.271353,3.8282075,2.999671,CA1,113
42.0,4.7913384,5.349325,2.173015,CA1,113
43.0,6.2864046,5.041055,3.1657774,CA1,113
44.0,4.206611,4.6195693,4.4495716,CA1,113
45.0,5.677573,4.248284,3.9428802,CA1,113
46.0,4.251355,3.6254256,3.3114755,CA1,113
47.0,4.3064003,3.4805295,3.0335336,CA1,113
48.0,4.432954,5.2690773,3.964697,CA1,113
49.0,3.2643595,5.1905756,4.391843,CA1,113
50.0,3.679425,5.196139,3.2856247,CA1,113
51.0,4.6447225,5.517238,2.0378966,CA1,113
52.0,6.0768223,5.282436,2.5578265,CA1,113
53.0,4.117487,4.373865,3.0013585,CA1,113
54.0,3.1588428,4.308062,3.8454258,CA1,113
55.0,4.139426,5.746286,3.1215477,CA1,113
56.0,4.1770687,3.4749053,2.4009147,CA1,113
57.0,5.00136,5.886457,2.9110823,CA1,113
58.0,3.310785,5.428468,3.9561057,CA1,113
59.0,4.0525618,3.7326858,2.7528317,CA1,113
60.0,3.6563146,4.155421,4.1443253,CA1,113
61.0,4.3909883,4.8444743,4.7923546,CA1,113
62.0,6.003225,3.5197482,2.4178205,CA1,113
63.0,5.9655266,5.7139397,3.8393066,CA1,113
64.0,6.0809927,4.693319,3.3658197,CA1,113
65.0,6.859067,3.5950408,2.8033297,CA1,113
66.0,5.3922706,3.2468803,4.04556,CA1,113
67.0,4.6596336,3.845901,1.8645968,CA1,113
68.0,6.1509914,4.007373,3.6427078,CA1,113
69.0,5.972602,3.3046288,3.9694116,CA1,113
70.0,4.0311656,4.630843,2.0635593,CA1,113
71.0,4.49054,5.008015,1.9181763,CA1,113
72.0,3.6095414,3.8845003,2.46333,CA1,113
73.0,3.8594544,3.8706167,2.380619,CA1,113
74.0,4.185037,3.843532,5.230415,CA1,113
75.0,4.132915,4.0252304,5.142683,CA1,113
76.0,3.9848351,4.4157214,2.203339,CA1,113
77.0,5.060412,4.831359,2.043376,CA1,113
78.0,4.686187,3.8401408,4.913249,CA1,113
79.0,3.422056,3.9549925,4.7075553,CA1,113
80.0,5.3776026,4.452392,1.9152459,CA1,113
81.0,6.725367,3.685008,3.1428938,CA1,113
82.0,5.223099,3.2078774,3.9888208,CA1,113
83.0,3.3429468,4.0039444,4.7797885,CA1,113
84.0,4.2753825,3.3261425,3.5386906,CA1,113
85.0,6.299817,4.353039,3.6384695,CA1,113
86.0,4.355315,3.824168,5.1758018,CA1,113
87.0,3.982816,4.063804,5.004988,CA1,113
88.0,4.7604685,3.4488516,2.3091714,CA1,113
89.0,4.4080048,5.065839,2.682641,CA1,113
90.0,6.332425,4.669883,3.6263828,CA1,113
91.0,5.628504,3.2350545,4.399044,CA1,113
92.0,5.0563984,3.564357,4.641269,CA1,113
93.0,3.1726892,4.1768875,3.7068,CA1,113
94.0,4.87236,4.5743427,3.7911701,CA1,113
95.0,4.612147,3.6526077,5.088087,CA1,113
96.0,3.5673833,3.9362483,4.7569118,CA1,113
97.0,4.433058,4.1620617,2.256348,CA1,113
98.0,5.9282303,4.457743,1.930659,CA1,113
99.0,4.4498234,3.6097326,5.0385365,CA1,113
100.0,3.6126378,4.223512,4.4320245,CA1,113
101.0,3.7646146,3.997494,4.366061,CA1,113
102.0,3.5878632,4.2150617,2.3370888,CA1,113
103.0,6.39273,4.9277306,2.9881802,CA1,113
104.0,5.8771467,4.467664,4.465658,CA1,113
105.0,6.259577,4.9913316,2.558303,CA1,113
106.0,4.0017815,4.1332726,2.2092512,CA1,113
107.0,5.816114,3.979575,1.9986544,CA1,113
108.0,5.98909,5.2456117,2.0560002,CA1,113
109.0,6.3451605,5.14851,2.5830822,CA1,113
110.0,6.636532,4.218215,3.1946416,CA1,113
111.0,6.6495914,4.163807,3.230651,CA1,113
112.0,6.172259,4.6703806,1.9156232,CA1,113
113.0,5.8249564,4.923212,1.8132443,CA1,113
114.0,6.2622943,4.664527,2.5919712,CA1,113
115.0,3.8630536,4.080259,4.959331,CA1,113
116.0,4.737182,4.8768563,2.2290568,CA1,113
117.0,5.883906,4.9427996,1.8689768,CA1,113
118.0,5.9691453,5.2726808,2.1420152,CA1,113
119.0,4.1679883,5.2935414,2.3726027,CA1,113
120.0,3.940785,4.018001,2.3605232,CA1,113
121.0,5.837667,5.446774,2.174692,CA1,113
