frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
107.0,-0.61858463,0.7799086,2.1105132,VISpm,64
108.0,-1.0316604,0.53113335,2.270187,VISpm,64
109.0,-0.5626676,0.2891823,1.8365556,VISpm,64
110.0,-0.75395066,0.46306774,1.9328779,VISpm,64
111.0,-0.71028334,0.23567915,2.0741115,VISpm,64
112.0,-1.1485018,0.8156986,2.6966968,VISpm,64
113.0,-0.9931948,0.6219089,2.1316433,VISpm,64
114.0,-0.9206438,1.0464448,2.423552,VISpm,64
115.0,-0.6560301,0.15837519,1.9940957,VISpm,64
116.0,-0.98561263,0.66711193,2.6280284,VISpm,64
117.0,-1.3480731,0.5473384,2.6662462,VISpm,64
118.0,-1.014166,0.51444256,2.4318664,VISpm,64
119.0,-1.302465,0.4463644,2.557453,VISpm,64
120.0,-1.0749683,0.64058477,3.309633,VISpm,64
121.0,-0.63180816,0.83720833,2.3602889,VISpm,64
122.0,-0.84813017,0.8116153,2.414463,VISpm,64
123.0,-1.2041993,0.45925772,2.71154,VISpm,64
124.0,-0.7065008,0.7311604,2.8678446,VISpm,64
125.0,-0.60434043,0.5466779,2.456348,VISpm,64
126.0,-1.3721676,0.4973711,2.7394354,VISpm,64
127.0,-1.328826,0.710197,3.0070667,VISpm,64
128.0,-1.0878911,0.41797933,2.668543,VISpm,64
129.0,-1.2249262,0.8298172,3.1586118,VISpm,64
130.0,-0.88590163,0.87462765,2.878224,VISpm,64
131.0,-1.3560269,0.5514528,2.8930342,VISpm,64
132.0,-1.0811988,0.49932194,2.2653334,VISpm,64
133.0,-0.15089403,0.4633295,2.7514327,VISpm,64
134.0,-0.7694403,0.39155942,2.617454,VISpm,64
135.0,-1.1222739,0.5827701,2.731661,VISpm,64
136.0,-0.51912284,0.5629627,2.4299352,VISpm,64
137.0,-1.1076581,1.0811961,3.2634454,VISpm,64
138.0,0.5856954,0.3761651,0.9157604,VISpm,64
139.0,0.4835255,0.5774122,0.728717,VISpm,64
140.0,0.52210075,0.316628,0.7083708,VISpm,64
141.0,0.8045406,0.11801441,0.92122823,VISpm,64
142.0,0.5106512,0.2591213,0.98194057,VISpm,64
143.0,0.43428817,0.2794614,1.009365,VISpm,64
144.0,0.51978546,0.4025403,0.6579722,VISpm,64
145.0,0.55220264,0.28513908,0.61751854,VISpm,64
146.0,0.61986303,0.40238088,0.7135492,VISpm,64
147.0,0.4373979,0.4036713,0.7266423,VISpm,64
148.0,0.47710663,0.32349762,0.6393242,VISpm,64
149.0,0.44046244,0.357502,0.6337147,VISpm,64
150.0,0.7664016,0.4682628,0.59381557,VISpm,64
151.0,1.0735786,0.61623925,0.46363932,VISpm,64
152.0,1.2354923,0.6649919,0.47544736,VISpm,64
153.0,1.1596439,0.68832904,0.50659955,VISpm,64
154.0,1.2859049,0.86810625,0.4060723,VISpm,64
155.0,1.1831394,0.65110725,0.4618793,VISpm,64
156.0,1.6321317,0.39229944,0.53834337,VISpm,64
157.0,1.3419641,0.61458457,0.497746,VISpm,64
158.0,1.781712,0.0030030583,0.72607696,VISpm,64
159.0,1.9630039,-0.042051066,0.7315674,VISpm,64
160.0,2.114342,0.054734044,0.8710247,VISpm,64
161.0,2.2139864,-0.04847995,0.72630346,VISpm,64
162.0,2.2312417,0.0026338832,0.7442215,VISpm,64
163.0,2.3160303,-0.043041855,0.9550583,VISpm,64
164.0,2.355133,0.021480594,0.89941996,VISpm,64
165.0,2.2629485,0.010976471,0.69833636,VISpm,64
166.0,2.2627814,-0.05693282,0.7478601,VISpm,64
167.0,2.0529091,0.026426839,0.7244375,VISpm,64
168.0,2.4388247,0.14702553,0.79495,VISpm,64
