UMAP1,UMAP2,UMAP3,Frame,Complexity
22.381172,17.285576,-1.1817482,0,3.209064225997835
22.331818,17.528372,-0.9862808,1,3.1885287497091306
19.576334,18.017199,0.50320053,2,3.1940471924625045
19.077631,18.381937,0.8610608,3,3.2242270601349245
18.954464,18.31219,0.7074097,4,3.2404378518883803
19.133718,18.19225,0.65031546,5,3.2358620840314747
18.941334,18.284037,0.71116394,6,3.2237718661931423
19.0257,18.355684,0.7186884,7,3.2611102168983406
19.012848,18.355286,0.7405977,8,3.278603916999711
18.976736,18.270632,0.62260306,9,3.3577556582597587
18.868458,18.31209,0.71769303,10,3.430078129096471
18.97385,18.399612,0.62653923,11,3.5412893142725843
18.893486,18.403229,0.67976093,12,3.619149013913561
18.914223,18.380816,0.66677,13,3.704105163414439
18.942785,18.350529,0.6077404,14,3.717051213068097
18.898285,18.323965,0.53273773,15,3.7916473986878976
19.03757,18.188324,0.5621592,16,3.836953567811358
19.04347,18.367582,0.4266325,17,3.870615530358133
19.083057,18.256477,0.46790195,18,3.881086416460329
19.073124,18.249653,0.49379322,19,3.943089330146181
18.923943,18.449959,0.33847883,20,3.9565154697082026
19.011084,18.30447,0.29624584,21,3.9784057404650013
19.04422,18.311607,0.40376484,22,3.9909883515352753
18.910593,18.266937,0.6066264,23,3.994306710828664
18.926746,18.314917,0.5666905,24,4.01789990638245
19.0979,18.184624,0.23076418,25,4.046449366420201
18.928534,18.426014,0.38382953,26,4.056268438876734
19.147148,18.221666,0.2438416,27,4.050897025071555
19.065718,18.355413,0.10820961,28,4.049346345014319
18.917192,18.578602,0.25387582,29,4.044783517965848
19.179382,18.044262,0.15435475,30,4.060983768233597
19.02269,18.436197,0.115048684,31,4.059794081395794
19.001139,18.387396,0.15385786,32,4.066480171445289
18.925291,18.43646,0.22125036,33,4.076600352855965
19.059914,18.038387,-0.14390746,34,4.083939503878702
18.961975,18.440287,0.12190806,35,4.082437939266033
19.086443,18.361286,0.016299563,36,4.080655300461515
19.019163,18.395042,-0.010160112,37,4.099077381330947
19.075827,18.315262,-0.10392156,38,4.102699696216381
19.237028,18.137016,-0.20527212,39,4.1080604800097555
19.213673,18.385954,-0.17735988,40,4.105554209046776
19.415607,18.542875,-0.07386768,41,4.105664211121603
19.331266,18.159428,0.031961102,42,4.126963587701828
19.31651,18.399847,-0.18569683,43,4.109664270863088
19.196718,18.44792,-0.27252012,44,4.114212378005618
19.2325,18.191235,-0.17934336,45,4.129299703425878
19.132475,18.432909,-0.045978583,46,4.137847345958312
19.160301,18.263796,-0.20687567,47,4.136498708344048
19.287054,18.220379,-0.068176106,48,4.143247266278413
19.222153,18.404112,-0.16746998,49,4.154592820161517
19.199959,18.105808,-0.27327314,50,4.153468724055342
19.245491,18.305828,-0.025662728,51,4.161684782086986
19.487215,18.315386,-0.2569666,52,4.160405894841956
19.211124,18.26499,-0.09629655,53,4.176118110687881
19.374056,18.363857,0.029181471,54,4.181709266143579
19.377274,18.299238,-0.08214085,55,4.173052168304022
19.147514,18.393894,-0.1318997,56,4.174338105504209
19.618492,18.007942,0.038555995,57,4.1412217279911925
19.452293,18.106945,0.008505,58,4.035981402275913
19.424984,17.998005,-0.1824252,59,3.8658429997543946
19.31462,18.253609,-0.052579086,60,3.752094103538542
19.652071,17.94293,-0.28012386,61,3.68642991632492
19.540796,18.238613,-0.023914449,62,3.6847191207073813
19.515665,18.213621,0.013077748,63,3.715123048889166
19.4536,18.152277,-0.20913091,64,3.876911168252712
19.406788,18.18475,-0.28899983,65,3.995627883517039
19.314278,18.131653,-0.37156725,66,3.9525369641294867
19.630787,17.964735,-0.83076614,67,3.961281154999332
19.699955,17.991636,-1.0012594,68,3.9644682055184117
19.765615,17.94745,-1.1360408,69,3.894495440812805
19.904331,18.000122,-1.1895452,70,3.628415435671828
19.93661,18.050507,-1.1545267,71,3.4913744110045783
19.891033,18.096333,-1.2025944,72,3.179682898313164
19.883612,18.129904,-1.2089319,73,3.1592773485615635
19.839916,18.178938,-1.1993324,74,3.1625870993765623
19.896296,18.147821,-1.253286,75,3.2103786577278313
19.875,18.438614,-1.0385125,76,3.197829513324834
19.880224,18.276636,-1.0255487,77,3.2395762980075036
19.900766,18.324223,-0.9549991,78,3.296444112040619
20.080084,18.275389,-1.0095105,79,3.3930277613622453
19.90702,18.481976,-0.961793,80,3.4043849326864986
19.982286,18.419281,-1.0750872,81,3.4172173864835966
20.075682,18.050802,-1.0186467,82,3.4229012403703494
20.110413,18.48865,-0.9150276,83,3.4664364419374807
20.077381,18.284246,-0.8469171,84,3.510348398804876
19.95907,18.386213,-0.89881206,85,3.568568949072773
19.88821,18.5868,-0.81339234,86,3.570441295219042
20.088213,18.535013,-0.77334327,87,3.586222166114835
20.108912,18.60735,-0.69352376,88,3.6346295381384506
20.061504,18.410099,-0.7781924,89,3.6926206434876905
20.039785,18.577374,-0.64270633,90,3.7661709991956536
19.87055,18.646168,-0.8953248,91,3.824120748995098
19.957977,18.66669,-0.5524739,92,3.833144189488859
20.077585,18.739067,-0.52943116,93,3.8310030298182545
19.787663,18.660854,-0.61479753,94,3.8532492352304337
19.98417,18.603928,-0.3376972,95,3.876597752576251
19.72407,18.60308,-0.3704155,96,3.922756337518051
19.78261,18.672665,-0.4175826,97,3.9789255118166826
19.99397,18.641605,-0.39624578,98,3.983532529040832
19.83836,18.558609,-0.46160898,99,4.022613201719966
19.940002,18.621948,-0.3822425,100,4.084149118923805
19.877623,18.715773,-0.5195928,101,4.117534049157776
19.751593,18.415854,-0.41312104,102,4.150349125347125
19.84924,18.546335,-0.4046338,103,4.167508644033466
20.20785,18.50831,-0.35097277,104,4.1726383780202205
20.127491,17.711632,-0.39057988,105,4.189123973879899
20.143545,18.508934,-0.4337564,106,4.217312650214345
20.126104,18.324978,-0.32387236,107,4.237713007213119
20.116081,18.45114,-0.48058283,108,4.2552017475038
20.125818,18.478954,-0.3156484,109,4.25820931803944
20.200943,18.601303,-0.20268905,110,4.259569527368038
20.165028,18.33432,-0.5781109,111,4.252695537848371
20.183146,18.677164,-0.19706535,112,4.252998801925831
20.115358,18.7607,-0.26126242,113,4.236004939016527
20.166342,18.618721,-0.431056,114,4.2346084075178485
20.233225,18.50612,-0.30679572,115,4.224541598624703
20.171377,18.492281,-0.2836142,116,4.22736098289975
20.552189,18.288147,-0.5930383,117,4.214868925279888
20.324965,18.245567,-0.4854891,118,4.210874443414353
20.316109,18.479715,-0.26133227,119,4.222790598761772
20.248066,18.523386,-0.28492826,120,4.343424791610433
20.212688,18.54261,-0.3894748,121,4.308067787241167
20.19441,18.269098,-0.44428864,122,4.302725704225013
20.220034,18.393816,-0.26268208,123,4.292014070235535
20.113598,18.401003,-0.112293206,124,4.2610776739489475
20.07003,18.068718,-0.22055393,125,4.239283214344909
20.308558,18.407843,-0.39254144,126,4.209791996111609
20.126204,18.09703,-0.32633233,127,4.168501826046218
20.240215,18.299143,-0.18914588,128,4.168169606853216
20.309544,18.214664,-0.09045625,129,4.0817083659045075
20.25729,18.379734,-0.30119038,130,4.044549854823781
20.199966,17.630304,-0.23216411,131,3.959810997146028
20.48321,18.295383,-0.27140954,132,3.934950595484122
20.337372,18.122318,-0.22192886,133,3.8280533876257046
20.033602,18.279966,-0.097348556,134,3.828344284387777
20.187164,18.324917,-0.12002348,135,3.7925029190215622
20.399527,18.27078,-0.32148618,136,3.7693683382435785
20.020287,18.157446,-0.36447877,137,3.742976590753952
20.4348,18.112322,-0.39884174,138,3.7902530543803175
20.298548,18.055857,-0.34935507,139,3.792160288988158
20.500088,18.092396,-0.68528605,140,3.794677897895584
20.226835,18.032066,-0.6244812,141,3.6850362367673304
20.151972,18.061993,-0.41623837,142,3.641362302202272
20.179348,17.832405,-0.6277191,143,3.5562102733013545
20.109085,17.435507,-0.82773083,144,3.511165119006415
20.221626,17.968428,-0.9130237,145,3.626804859314758
20.215395,17.90074,-0.8600052,146,3.6293578548632404
20.161047,17.862331,-1.0653687,147,3.705540793603969
20.462004,17.908424,-0.7464678,148,3.4238435956665425
20.347195,17.951355,-0.94828486,149,3.13785867009449
20.229277,17.715761,-0.97136647,150,3.1491403541909686
20.145542,17.868093,-1.2037467,151,3.2484391905403367
20.088243,17.8754,-1.209142,152,3.2482148240925013
20.337067,17.48072,-1.246689,153,3.0866241886357937
20.705248,17.455795,-1.357699,154,2.9273255189199068
20.225067,17.84643,-1.0809158,155,2.7367454528125053
20.283516,17.650927,-1.0112432,156,2.796428607329745
20.219448,17.979977,-0.90640426,157,2.9981642644238415
20.24097,17.687403,-1.0901005,158,3.002385798232484
20.01709,17.789368,-1.0368842,159,3.2596102554546964
20.075844,17.75343,-0.8377026,160,3.546695582090566
19.966833,17.716293,-0.8618437,161,3.720098821574471
19.909601,17.617052,-0.9570305,162,3.781548865760644
19.972233,17.317205,-0.7464231,163,3.7941595363330447
20.115005,17.176718,-0.85009015,164,3.7985548320910145
20.468342,17.09683,-1.0729005,165,3.8566846446402425
21.081018,17.487669,-0.7661287,166,3.8985803461868644
20.631607,17.321024,-0.84925276,167,3.9923464404886446
20.159075,17.544151,-0.83617455,168,4.018490349306089
20.120762,17.457743,-0.66775316,169,4.028739405327946
20.703768,17.222578,-0.6976049,170,4.031263931526964
20.653217,17.343857,-0.5305435,171,4.0966703043623545
20.602251,17.013706,-0.5891767,172,4.155740900728828
20.383879,17.449972,-0.5040066,173,4.2286700273484765
20.03968,17.265934,-0.45280987,174,4.2114562682256045
20.099165,17.409492,-0.4054218,175,4.193953873684126
20.063372,17.23463,-0.38099483,176,4.197917421657789
20.078629,17.328997,-0.47284424,177,4.109987568327215
20.165112,17.331873,-0.36962423,178,4.019369545409622
20.143324,17.044655,-0.32728705,179,3.9593487978616615
20.097345,17.05287,-0.28970373,180,4.0073145417393325
20.142029,17.001625,-0.274116,181,4.096183458691812
20.10246,16.891106,-0.39989534,182,4.097767597917782
20.183535,16.765488,-0.3531228,183,4.237595532932081
20.305931,16.808846,-0.1658366,184,4.058667062435934
20.23992,16.789753,-0.21115452,185,4.017667804262816
20.204395,16.885046,-0.3362196,186,3.491039062823992
20.243977,17.013506,-0.137975,187,3.0718254731951853
20.225168,16.928127,-0.272695,188,3.0752489306161066
20.344662,16.893888,-0.22065492,189,3.1093793507108423
20.847614,17.084637,-0.4814486,190,3.524833334671009
20.406422,17.351337,-0.599485,191,3.582433354599264
20.507143,17.415346,-0.60096514,192,3.9987564384660224
20.533245,17.570827,-0.90910876,193,3.9942114949794933
20.691475,17.33607,-0.9730337,194,3.999099530990816
20.543045,17.398558,-0.8799261,195,3.8290224319559267
20.711273,17.735313,-0.6762064,196,4.179183380790897
20.596363,17.842743,-0.5906686,197,4.178520390583787
20.409735,16.835705,-0.9080473,198,4.253835945273491
20.094631,16.555086,-0.6899951,199,4.264904968080842
20.319635,16.41,-0.61405456,200,4.262277059423803
20.087431,16.448088,-0.44616494,201,4.525575989631062
20.170652,16.293102,-0.53814065,202,4.527727885150491
20.28309,16.17954,-0.41419375,203,4.57504977891612
20.119175,16.482315,-0.22000754,204,4.74571987306046
20.192253,16.391453,-0.31187627,205,4.814200175761294
20.297644,16.426634,-0.19324763,206,4.823211129618314
20.202793,16.287981,-0.1571855,207,4.774493601612333
20.384405,16.23405,-0.13705644,208,4.755212592609891
20.289745,16.332731,-0.21635094,209,4.683865537103138
20.170313,16.178125,0.037035894,210,4.6342122795164205
20.215425,16.33519,-0.43557888,211,4.575916596732041
20.345657,16.200394,0.15271288,212,4.596104906631318
20.421995,16.352615,-0.18562269,213,4.540806179194239
20.232882,15.947009,-0.21131904,214,4.439726439212318
20.260757,16.180267,-0.118384466,215,4.341666274669062
20.182632,16.252367,-0.32032335,216,4.248241839711014
20.3012,16.043453,-0.1726215,217,4.17963123612311
20.433975,16.173843,-0.022836618,218,4.190348769214006
20.171682,16.175941,-0.19358729,219,4.0991377433467555
20.226252,15.944493,-0.19489582,220,4.026642241695276
20.254625,16.089413,-0.18486671,221,4.037171890277028
20.364262,16.214148,-0.025848638,222,4.018557027438832
20.339663,16.105223,-0.12193136,223,4.042861832102492
20.395174,15.854649,-0.24365433,224,4.048267813873501
20.428417,16.124802,-0.2886281,225,4.027998903408006
20.657913,15.959191,-0.21491733,226,4.068884813719492
20.61416,15.777189,-0.08071579,227,4.080380083190815
20.436756,15.812055,-0.049509495,228,4.122534378804512
20.440083,16.116426,-0.28828505,229,4.201947143781508
20.490623,15.974605,-0.3889555,230,4.213604816565984
20.614836,16.19427,-0.43774834,231,4.178654767126797
20.701809,15.9646435,-0.2796927,232,4.211194743097731
20.645681,16.146679,-0.50048894,233,4.2387297137103825
20.612059,16.114939,-0.4923398,234,4.246701622367791
20.439188,16.240759,-0.29807955,235,4.1593041129033175
20.382118,16.577606,-0.2842979,236,4.166411874642092
20.418423,16.45195,-0.45099822,237,4.127912615112059
20.651344,16.19211,-0.43444762,238,4.034291658588577
20.507858,16.275698,-0.2489379,239,4.0163017093815165
20.596838,16.332155,-0.28070924,240,4.070710824005969
20.712524,16.447319,-0.3617243,241,4.031552158237189
20.66539,16.435686,-0.18791792,242,4.035095306398365
20.620874,16.048285,-0.012425346,243,4.010892824084388
20.981958,16.096071,-0.2412206,244,3.9165510063820657
20.764538,16.345863,-0.053868636,245,3.817484638547124
20.683321,16.5428,-0.16429931,246,3.7613805534990883
20.798212,16.672478,-0.18468802,247,3.7163524204283975
20.935402,16.324093,-0.40001032,248,3.718736681316926
20.899656,16.169033,-0.16137165,249,3.6642050127858594
21.048122,16.247717,-0.07691188,250,3.587683951450596
20.947517,15.887162,-0.007351166,251,3.4995315664682627
20.88304,15.859546,-0.38235462,252,3.4695314826525037
20.953512,15.63139,-0.09987121,253,3.4760344032156367
20.676836,15.431463,-0.3363078,254,3.4816038039872854
20.946117,15.479945,-0.5688089,255,3.47448019538518
21.04866,15.39591,-0.5721171,256,3.532816828012151
21.083284,15.340195,-0.6233064,257,3.541602898992844
21.088573,15.423064,-0.7326555,258,3.5898301991623054
20.956228,15.238938,-0.37364477,259,3.647238443329011
21.012178,15.197494,-0.17267115,260,3.6576292470438614
20.944042,15.089996,-0.32254398,261,3.698550462425054
20.904362,15.115026,-0.23178588,262,3.7630931916084656
20.9348,15.046347,-0.28365573,263,3.769823083083133
20.713491,15.029984,-0.44262332,264,3.7821901398447397
