session_id,frame,UMAP_1,UMAP_2,UMAP_3,region,n_units
744228101,0.0,6.1787076,2.9774432,6.895722,DG,10
744228101,1.0,7.5324397,2.8520865,7.979461,DG,10
744228101,2.0,6.8060017,3.9703145,5.940532,DG,10
744228101,3.0,6.682391,3.3631372,6.2794538,DG,10
744228101,4.0,10.689373,1.3666644,7.334232,DG,10
744228101,5.0,8.390535,0.8354971,7.281328,DG,10
744228101,6.0,9.0909605,0.76310116,7.6567607,DG,10
744228101,7.0,6.5345783,3.6030693,6.1664386,DG,10
744228101,8.0,9.150619,2.5582721,7.0326486,DG,10
744228101,9.0,11.479686,0.337478,7.690088,DG,10
744228101,10.0,7.853455,-0.34252322,7.6644974,DG,10
744228101,11.0,5.7846866,0.52836645,6.8768916,DG,10
744228101,12.0,5.9618616,0.4581203,7.109677,DG,10
744228101,13.0,8.386856,0.4700906,7.270179,DG,10
744228101,14.0,8.954778,0.8095714,7.803485,DG,10
744228101,15.0,6.536139,4.5553966,5.9922724,DG,10
744228101,16.0,8.362867,1.1420318,8.172615,DG,10
744228101,17.0,5.8607807,2.436537,6.95297,DG,10
744228101,18.0,7.650112,0.76845354,6.564423,DG,10
744228101,19.0,8.353823,0.51099867,7.382958,DG,10
744228101,20.0,8.472763,1.142444,8.227192,DG,10
744228101,21.0,6.778422,3.1372893,6.3772044,DG,10
744228101,22.0,9.069731,0.5323748,7.7975106,DG,10
744228101,23.0,10.106919,1.9151425,7.4246254,DG,10
744228101,24.0,5.5164986,0.49230996,7.3927526,DG,10
744228101,25.0,8.543009,1.1666262,6.715326,DG,10
744228101,26.0,7.8483667,1.0565482,9.269141,DG,10
744228101,27.0,7.69708,-0.031162774,7.1258388,DG,10
744228101,28.0,8.332949,1.2631906,8.349724,DG,10
744228101,29.0,8.934706,1.5261415,7.8810334,DG,10
744228101,30.0,6.0956826,1.4686095,7.4596734,DG,10
744228101,31.0,11.092274,0.6305986,7.0501533,DG,10
744228101,32.0,11.559355,0.36003396,7.1467123,DG,10
744228101,33.0,6.6429324,4.5163555,6.2062387,DG,10
744228101,34.0,6.295338,4.3195477,6.117576,DG,10
744228101,35.0,6.059016,4.105271,7.203663,DG,10
744228101,36.0,7.97268,0.35722253,7.312035,DG,10
744228101,37.0,5.66772,2.6287704,6.8231,DG,10
744228101,38.0,5.5906396,3.9256191,7.679715,DG,10
744228101,39.0,5.6878247,3.8264656,7.7223954,DG,10
744228101,40.0,7.5158024,2.0250056,6.6892467,DG,10
744228101,41.0,10.256986,2.1251707,7.0328794,DG,10
744228101,42.0,11.442424,0.370183,7.6611066,DG,10
744228101,43.0,7.6687384,0.66174936,6.3913627,DG,10
744228101,44.0,6.26915,1.6156089,6.473213,DG,10
744228101,45.0,5.4746814,4.74357,6.463682,DG,10
744228101,46.0,5.8663893,3.9326627,6.436068,DG,10
744228101,47.0,6.540348,3.8054738,7.1200204,DG,10
744228101,48.0,8.214239,1.6652731,6.3511806,DG,10
744228101,49.0,10.164665,1.9905107,7.310461,DG,10
744228101,50.0,8.946364,0.7478761,7.709044,DG,10
744228101,51.0,6.5858574,3.4612312,7.842517,DG,10
744228101,52.0,6.7515616,2.146157,9.2657995,DG,10
744228101,53.0,6.951702,0.35216266,7.919339,DG,10
744228101,54.0,6.2942286,-0.0012685882,7.8862433,DG,10
744228101,55.0,5.7421913,2.7328653,7.753356,DG,10
744228101,56.0,8.219293,2.1757624,8.666414,DG,10
744228101,57.0,8.151039,0.9221954,9.101942,DG,10
744228101,58.0,8.316678,0.24516565,8.643972,DG,10
744228101,59.0,8.628385,0.6428374,8.534107,DG,10
744228101,60.0,8.558854,-0.20507091,7.9005156,DG,10
744228101,61.0,8.138471,0.68870634,9.110222,DG,10
744228101,62.0,8.203073,0.7870068,9.151419,DG,10
744228101,63.0,8.456435,0.81601477,7.122599,DG,10
744228101,64.0,10.889925,0.5865216,7.065664,DG,10
744228101,65.0,7.3265285,3.8474994,6.485407,DG,10
744228101,66.0,10.241881,2.0525415,7.0418944,DG,10
744228101,67.0,8.004341,2.1456704,7.373227,DG,10
744228101,68.0,5.7246485,2.571085,6.7109504,DG,10
744228101,69.0,7.853543,0.07976662,7.057243,DG,10
744228101,70.0,7.441013,0.7412347,7.1066074,DG,10
744228101,71.0,6.164793,0.04153182,7.7663593,DG,10
744228101,72.0,8.3823595,1.1807625,6.585518,DG,10
744228101,73.0,7.882643,0.07176256,7.132202,DG,10
744228101,74.0,8.022286,2.1085715,7.5121202,DG,10
744228101,75.0,6.5180774,3.5914133,7.1877384,DG,10
744228101,76.0,7.829012,0.9266583,9.103299,DG,10
744228101,77.0,8.83167,0.35290217,7.8079853,DG,10
744228101,78.0,7.5925965,1.4628811,9.190195,DG,10
744228101,79.0,11.207122,0.88620204,7.062691,DG,10
744228101,80.0,6.414472,4.9964857,7.0326347,DG,10
744228101,81.0,7.5224543,1.2717487,7.0109844,DG,10
744228101,82.0,7.853482,1.27624,7.6270814,DG,10
744228101,83.0,7.6139975,1.6913842,9.252179,DG,10
744228101,84.0,6.286603,4.619808,7.2156057,DG,10
744228101,85.0,6.4280767,4.7232323,7.3145614,DG,10
744228101,86.0,11.294701,0.4465741,6.9871235,DG,10
744228101,87.0,8.097617,1.1945237,8.962758,DG,10
744228101,88.0,10.420845,2.393424,7.2881265,DG,10
744228101,89.0,11.271996,0.722104,7.0086207,DG,10
744228101,90.0,7.01134,3.7555382,6.5784674,DG,10
744228101,91.0,7.9248557,1.3999115,7.9854736,DG,10
744228101,92.0,7.5485506,3.1932852,7.1733017,DG,10
744228101,93.0,7.7107286,0.27602634,6.920546,DG,10
744228101,94.0,5.7350554,4.2196383,7.1814995,DG,10
744228101,95.0,6.47196,4.564915,7.129828,DG,10
744228101,96.0,7.9800973,1.835659,7.058171,DG,10
744228101,97.0,7.5168157,0.9611225,6.922636,DG,10
744228101,98.0,5.901655,3.281667,6.9136176,DG,10
744228101,99.0,5.3762717,4.2757497,7.195783,DG,10
744228101,100.0,7.0146384,3.720066,6.7711754,DG,10
744228101,101.0,6.8137164,3.7947733,7.103095,DG,10
744228101,102.0,7.7774277,1.4296488,5.979285,DG,10
744228101,103.0,5.5430155,0.7295351,7.162105,DG,10
744228101,104.0,5.7884946,3.506179,6.970912,DG,10
744228101,105.0,7.7318754,1.4237095,7.5738816,DG,10
744228101,106.0,5.8433914,3.5422049,8.245521,DG,10
744228101,107.0,7.4668903,2.6008356,8.983387,DG,10
744228101,108.0,8.309901,1.3601649,8.39585,DG,10
744228101,109.0,6.3268538,3.1670542,7.8252273,DG,10
744228101,110.0,6.3838425,4.052624,6.9560423,DG,10
744228101,111.0,5.3290772,1.144626,7.1603856,DG,10
744228101,112.0,5.4211965,1.4336038,6.8704495,DG,10
744228101,113.0,5.547985,1.2188804,6.7940593,DG,10
744228101,114.0,7.471399,2.1734393,6.230911,DG,10
744228101,115.0,7.127306,0.65885806,7.25102,DG,10
744228101,116.0,5.3906965,3.872253,7.453621,DG,10
744228101,117.0,5.4104347,4.5990567,7.107975,DG,10
744228101,118.0,6.479777,4.928564,6.031871,DG,10
744228101,119.0,8.625786,0.98962456,6.7456303,DG,10
744228101,120.0,5.8335814,4.5764513,6.189453,DG,10
744228101,121.0,6.065979,4.3464513,5.942703,DG,10
744228101,122.0,7.3791976,3.3208373,6.2705154,DG,10
744228101,123.0,7.6824946,0.3831535,6.876046,DG,10
744228101,124.0,6.0039635,0.15748608,7.587174,DG,10
744228101,125.0,10.350764,2.1820939,7.1173377,DG,10
744228101,126.0,6.2857575,0.21952733,7.413168,DG,10
744228101,127.0,8.514967,0.0036123176,7.7635,DG,10
744228101,128.0,8.435127,0.31414527,7.725351,DG,10
744228101,129.0,5.335123,0.8234744,7.6007514,DG,10
744228101,130.0,5.87553,4.0551314,6.2205954,DG,10
744228101,131.0,5.80741,0.33741122,7.157851,DG,10
744228101,132.0,7.89934,2.4890645,8.881064,DG,10
744228101,133.0,11.497045,0.36050072,7.4670873,DG,10
744228101,134.0,7.1544943,0.28396484,7.519392,DG,10
744228101,135.0,5.9823966,4.251564,6.013823,DG,10
744228101,136.0,5.465435,1.2424543,6.881715,DG,10
744228101,137.0,7.8295555,-0.32275862,7.7006965,DG,10
744228101,138.0,7.95097,-0.2334826,7.8586264,DG,10
744228101,139.0,6.0791903,3.2017221,8.12161,DG,10
744228101,140.0,9.531935,1.5582733,7.7289915,DG,10
744228101,141.0,6.6317053,2.5816214,6.306774,DG,10
744228101,142.0,7.0978947,1.5350636,7.026711,DG,10
744228101,143.0,5.6644883,0.882516,7.191249,DG,10
744228101,144.0,8.53383,0.8528488,6.7786646,DG,10
744228101,145.0,7.734492,0.80155134,6.332156,DG,10
744228101,146.0,7.038437,0.66307944,7.212709,DG,10
744228101,147.0,5.586786,3.747362,8.01015,DG,10
744228101,148.0,9.208089,0.772041,7.6401267,DG,10
744228101,149.0,8.73628,0.36529204,7.575366,DG,10
744228101,150.0,6.8640766,3.3958638,6.904322,DG,10
744228101,151.0,6.5014706,4.700707,6.261375,DG,10
744228101,152.0,6.3755665,4.9896255,6.87402,DG,10
744228101,153.0,7.77729,0.82389283,6.305515,DG,10
744228101,154.0,7.854306,1.6224833,6.0933385,DG,10
744228101,155.0,7.313948,2.8170116,8.478497,DG,10
744228101,156.0,5.6943727,0.5603193,7.1092014,DG,10
744228101,157.0,6.6186514,2.3703153,7.238704,DG,10
744228101,158.0,5.2803206,1.133031,7.0486856,DG,10
744228101,159.0,6.9316363,1.6177261,7.1789265,DG,10
744228101,160.0,6.955105,0.94616055,7.4483366,DG,10
744228101,161.0,6.2795672,3.7356715,5.895807,DG,10
744228101,162.0,5.4649973,0.92476374,6.826016,DG,10
744228101,163.0,8.138744,1.397208,6.297861,DG,10
744228101,164.0,6.41555,2.434825,8.067176,DG,10
744228101,165.0,6.269227,2.8644536,9.03571,DG,10
744228101,166.0,5.558807,1.209306,6.84125,DG,10
744228101,167.0,7.0579863,3.76076,6.823419,DG,10
744228101,168.0,7.8001213,0.17061926,8.247311,DG,10
744228101,169.0,7.7410808,0.058394622,7.8330097,DG,10
744228101,170.0,7.812642,0.2814779,8.628483,DG,10
744228101,171.0,7.633351,0.06160446,7.3745623,DG,10
744228101,172.0,7.8503423,-0.08914265,7.488366,DG,10
744228101,173.0,5.7918873,3.457721,6.8566666,DG,10
744228101,174.0,8.393502,2.9323401,7.1955547,DG,10
744228101,175.0,6.988491,0.9346471,7.3015976,DG,10
744228101,176.0,8.461419,0.9891287,7.8175497,DG,10
744228101,177.0,6.1781974,5.1725,6.668103,DG,10
744228101,178.0,5.37041,0.66912955,7.4552994,DG,10
744228101,179.0,5.230542,3.1617877,7.298383,DG,10
744228101,180.0,6.3641877,1.4091568,7.268206,DG,10
744228101,181.0,7.364011,0.5915169,7.105319,DG,10
744228101,182.0,7.297123,1.5731629,7.3813825,DG,10
744228101,183.0,5.6950665,2.6393132,8.044367,DG,10
744228101,184.0,7.901388,2.2132175,7.3629985,DG,10
744228101,185.0,5.755248,0.7945043,7.356139,DG,10
744228101,186.0,7.473088,3.0044243,7.086916,DG,10
744228101,187.0,6.1973276,3.7761936,7.3784604,DG,10
744228101,188.0,7.6604543,0.65525323,6.450096,DG,10
744228101,189.0,5.6812873,2.8204293,7.0023246,DG,10
744228101,190.0,6.008473,0.95339775,7.0484734,DG,10
744228101,191.0,6.115978,4.1814413,8.068268,DG,10
744228101,192.0,5.605023,2.6009665,6.808093,DG,10
744228101,193.0,10.45958,1.9423984,7.397407,DG,10
744228101,194.0,11.178839,0.891738,7.0726304,DG,10
744228101,195.0,7.111235,2.8943775,7.703731,DG,10
744228101,196.0,5.542309,1.3604686,6.885735,DG,10
744228101,197.0,10.196443,2.0985608,7.2364063,DG,10
744228101,198.0,7.0226393,1.4675767,7.40279,DG,10
744228101,199.0,6.7944894,2.2125118,9.233769,DG,10
744228101,200.0,7.158066,4.1713734,6.598153,DG,10
744228101,201.0,8.591255,0.7760708,8.883494,DG,10
744228101,202.0,5.295224,1.2272309,7.2729125,DG,10
744228101,203.0,6.3872976,4.1109867,7.888574,DG,10
744228101,204.0,6.5536437,3.5145001,7.2050257,DG,10
744228101,205.0,6.1717,2.4592826,7.4846697,DG,10
744228101,206.0,8.2516365,0.18805084,8.09613,DG,10
744228101,207.0,7.501887,1.5823947,8.946069,DG,10
744228101,208.0,5.721255,4.352807,7.750216,DG,10
744228101,209.0,7.2560425,1.755216,6.871291,DG,10
744228101,210.0,7.1546884,1.2376142,8.793054,DG,10
744228101,211.0,5.365751,3.4966984,8.211599,DG,10
744228101,212.0,6.6048145,2.936908,9.324668,DG,10
744228101,213.0,7.2551646,1.2527881,7.1820436,DG,10
744228101,214.0,5.397299,0.83928645,7.3161287,DG,10
744228101,215.0,6.43454,5.001267,6.361582,DG,10
744228101,216.0,5.7973137,3.2059393,7.4416947,DG,10
744228101,217.0,7.857022,1.4582068,7.32438,DG,10
744228101,218.0,5.5877666,3.9236062,8.076673,DG,10
744228101,219.0,6.41556,3.064384,9.112421,DG,10
744228101,220.0,11.341682,0.519468,7.0448933,DG,10
744228101,221.0,5.980341,2.3510852,7.1179833,DG,10
744228101,222.0,8.282151,0.77241516,6.6823907,DG,10
744228101,223.0,7.943256,0.62006944,7.495682,DG,10
744228101,224.0,5.5113506,3.4318624,7.080005,DG,10
744228101,225.0,11.487197,0.5277515,7.0509696,DG,10
744228101,226.0,11.40311,0.28583625,7.6610036,DG,10
744228101,227.0,11.445584,0.27940592,7.6184583,DG,10
744228101,228.0,6.2639275,5.2511077,6.4600143,DG,10
744228101,229.0,7.6084666,2.002313,6.618634,DG,10
744228101,230.0,7.92146,2.1904037,7.0977936,DG,10
744228101,231.0,7.3459344,2.7342713,8.59036,DG,10
744228101,232.0,6.6876173,3.4304442,8.499371,DG,10
744228101,233.0,8.019313,1.6977208,8.534584,DG,10
744228101,234.0,5.6991034,2.1268592,7.848115,DG,10
744228101,235.0,7.6116266,0.9189658,6.4166307,DG,10
744228101,236.0,5.75599,2.8966188,7.3022723,DG,10
744228101,237.0,8.171429,1.5596983,8.39555,DG,10
744228101,238.0,6.61522,2.7936244,6.126419,DG,10
744228101,239.0,5.9164515,1.1947625,8.309034,DG,10
744228101,240.0,7.700564,0.99366397,9.176242,DG,10
744228101,241.0,5.709285,3.0598722,8.496353,DG,10
744228101,242.0,8.424413,0.9623931,8.337371,DG,10
744228101,243.0,8.556915,0.8067932,7.585664,DG,10
744228101,244.0,5.7907195,0.97018707,6.641632,DG,10
744228101,245.0,5.4380007,4.100482,7.6986914,DG,10
744228101,246.0,6.1630435,5.1242576,6.3710275,DG,10
744228101,247.0,8.575891,0.5571115,7.441108,DG,10
744228101,248.0,7.719877,2.1724553,6.712034,DG,10
744228101,249.0,6.327825,5.258869,6.7298546,DG,10
744228101,250.0,5.875736,1.8559213,8.770035,DG,10
744228101,251.0,7.061977,2.6021256,9.24616,DG,10
744228101,252.0,7.9054084,0.5011402,8.940263,DG,10
744228101,253.0,5.5960884,5.2175255,6.8365116,DG,10
744228101,254.0,6.0088954,4.452191,7.8586173,DG,10
744228101,255.0,6.5713153,4.6086593,7.1846128,DG,10
744228101,256.0,7.391306,4.255612,6.815706,DG,10
744228101,257.0,5.565875,4.7532816,6.5713754,DG,10
744228101,258.0,7.492916,2.7949817,8.764,DG,10
744228101,259.0,7.3251905,2.8378968,6.20471,DG,10
744228101,260.0,10.0011835,2.091753,7.376513,DG,10
744228101,261.0,5.1638765,1.6582301,6.9403076,DG,10
744228101,262.0,6.020601,4.822356,6.5583797,DG,10
744228101,263.0,5.790138,0.9404243,6.899054,DG,10
744228101,264.0,7.7477536,1.5573884,5.960428,DG,10
744228101,265.0,10.054234,1.9032527,7.54252,DG,10
744228101,266.0,9.8592,2.1801987,6.881442,DG,10
744228101,267.0,6.1993837,4.2328873,7.9273124,DG,10
744228101,268.0,6.682386,4.490233,5.9923043,DG,10
744228101,269.0,7.17816,3.7063947,6.590331,DG,10
744228101,270.0,7.2543817,4.199388,7.173418,DG,10
744228101,271.0,5.709346,4.8768754,6.7685757,DG,10
744228101,272.0,5.783976,5.247602,6.868211,DG,10
744228101,273.0,6.224618,4.5856338,6.056062,DG,10
744228101,274.0,5.4626293,4.324738,7.3834114,DG,10
744228101,275.0,6.482827,4.4727755,7.1912,DG,10
744228101,276.0,6.814838,4.4979424,6.0456266,DG,10
744228101,277.0,7.86922,1.3923792,8.106756,DG,10
744228101,278.0,5.5990806,4.17175,6.919315,DG,10
744228101,279.0,5.4529414,2.9377668,7.8355093,DG,10
744228101,280.0,11.3621025,0.78212506,7.0040736,DG,10
744228101,281.0,7.8821473,-0.046482682,7.2955456,DG,10
