session_id,region,n_units,n_frames,pca_components,variance_explained,umap_shape,status,csv_file
715093703,APN,26,900,26.0,1.0000000000000002,900×3,success,APN_session715093703_umap_3d.csv
715093703,CA1,145,900,50.0,0.5669430746151196,900×3,success,CA1_session715093703_umap_3d.csv
715093703,CA3,14,900,14.0,0.9999999999999999,900×3,success,CA3_session715093703_umap_3d.csv
715093703,DG,26,900,26.0,1.0,900×3,success,DG_session715093703_umap_3d.csv
715093703,LGd,82,900,50.0,0.8611374656087034,900×3,success,LGd_session715093703_umap_3d.csv
715093703,LP,139,900,50.0,0.6938354302976979,900×3,success,LP_session715093703_umap_3d.csv
715093703,PO,76,900,50.0,0.7963524961632427,900×3,success,PO_session715093703_umap_3d.csv
715093703,PoT,1,0,,,N/A,skipped_too_few_units,
715093703,VISam,30,900,30.0,0.9999999999999999,900×3,success,VISam_session715093703_umap_3d.csv
715093703,VISl,42,900,42.0,1.0,900×3,success,VISl_session715093703_umap_3d.csv
715093703,VISp,60,900,50.0,0.9657907614568746,900×3,success,VISp_session715093703_umap_3d.csv
715093703,VISpm,50,900,50.0,1.0,900×3,success,VISpm_session715093703_umap_3d.csv
715093703,VISrl,76,900,50.0,0.8947031821246362,900×3,success,VISrl_session715093703_umap_3d.csv
715093703,grey,117,900,50.0,0.6413060243957858,900×3,success,grey_session715093703_umap_3d.csv
719161530,APN,176,900,50.0,0.5747981774129116,900×3,success,APN_session719161530_umap_3d.csv
719161530,CA1,108,900,50.0,0.6818288995961674,900×3,success,CA1_session719161530_umap_3d.csv
719161530,CA3,14,900,14.0,0.9999999999999999,900×3,success,CA3_session719161530_umap_3d.csv
719161530,DG,14,900,14.0,1.0,900×3,success,DG_session719161530_umap_3d.csv
719161530,Eth,1,0,,,N/A,skipped_too_few_units,
719161530,LGd,71,900,50.0,0.8915429324364448,900×3,success,LGd_session719161530_umap_3d.csv
719161530,LP,28,900,28.0,0.9999999999999999,900×3,success,LP_session719161530_umap_3d.csv
719161530,NOT,16,900,16.0,1.0,900×3,success,NOT_session719161530_umap_3d.csv
719161530,PO,5,0,,,N/A,skipped_too_few_units,
719161530,POL,55,900,50.0,0.9684232477721074,900×3,success,POL_session719161530_umap_3d.csv
719161530,SUB,42,900,42.0,1.0000000000000002,900×3,success,SUB_session719161530_umap_3d.csv
719161530,TH,9,0,,,N/A,skipped_too_few_units,
719161530,VISal,9,0,,,N/A,skipped_too_few_units,
719161530,VISam,37,900,37.0,1.0000000000000002,900×3,success,VISam_session719161530_umap_3d.csv
719161530,VISl,40,900,40.0,0.9999999999999998,900×3,success,VISl_session719161530_umap_3d.csv
719161530,VISp,52,900,50.0,0.9932771560815286,900×3,success,VISp_session719161530_umap_3d.csv
719161530,VISpm,18,900,18.0,1.0000000000000002,900×3,success,VISpm_session719161530_umap_3d.csv
719161530,VISrl,10,900,10.0,1.0,900×3,success,VISrl_session719161530_umap_3d.csv
719161530,VL,7,0,,,N/A,skipped_too_few_units,
719161530,VPM,24,900,24.0,1.0,900×3,success,VPM_session719161530_umap_3d.csv
719161530,grey,19,900,19.0,1.0000000000000002,900×3,success,grey_session719161530_umap_3d.csv
721123822,APN,10,900,10.0,0.9999999999999998,900×3,success,APN_session721123822_umap_3d.csv
721123822,CA1,71,900,50.0,0.8312469891571944,900×3,success,CA1_session721123822_umap_3d.csv
721123822,CA3,10,900,10.0,1.0,900×3,success,CA3_session721123822_umap_3d.csv
721123822,DG,41,900,41.0,0.9999999999999999,900×3,success,DG_session721123822_umap_3d.csv
721123822,LGv,11,900,11.0,0.9999999999999999,900×3,success,LGv_session721123822_umap_3d.csv
721123822,LP,69,900,50.0,0.9117424723038289,900×3,success,LP_session721123822_umap_3d.csv
721123822,MB,5,0,,,N/A,skipped_too_few_units,
721123822,POL,3,0,,,N/A,skipped_too_few_units,
721123822,SCig,10,900,10.0,1.0000000000000002,900×3,success,SCig_session721123822_umap_3d.csv
721123822,VIS,24,900,24.0,0.9999999999999998,900×3,success,VIS_session721123822_umap_3d.csv
